player,position,team,age,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,progressive_passes_received,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,matches,season,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,xg_assist_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_offsides,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_take_ons,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_take_ons,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,minutes_per_game,minutes_pct,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,plus_minus_wowy,on_xg_for,on_xg_against,xg_plus_minus,xg_plus_minus_per90,xg_plus_minus_wowy,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,gameweek
Yasser Larouci,"DF,MF",Sheffield Utd,22.0,1.0,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2023.0,0,0,,0.0,0.0,,,,0,,0.0,0.0,5,5,100.0,109,64,3,3,100.0,1,1,100.0,1,1,100.0,0.0,0.0,0,2,0,0,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,1,0,0,,0,0,0,0,2,3,1,0,10,0,2,5,3,0,10,0,0,,0,,2,25,24,1,0,0,0,4,11,12.2,,0,1,11.0,0,0.0,0,0,0,0.0,1.14,0.0,0.2,-0.2,-1.5,-0.14,0,0,1,0,0,0,0,0,0,1,0.0,1
Mario Lemina,MF,Wolves,29.0,1.0,1,90,1.0,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,1,3,2,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.1,Matches,2023.0,3,0,0.0,3.0,0.0,0.0,,25.5,0,0.03,-0.1,-0.1,42,52,80.8,599,193,27,28,96.4,11,15,73.3,2,3,66.7,0.0,0.0,0,3,1,0,51,0,0,0,0,0,0,0,0,0,0,1,1,3,3.0,2,0,0,1,0,0,0,0.0,0,0,0,0,0,0,1,0,1,0,0,0,0,,0,0,0,0,3,4,1,0,64,2,27,26,13,1,64,1,1,100.0,0,0.0,34,163,27,1,0,1,0,40,90,100.0,90.0,1,0,,0,0.0,0,1,-1,-1.0,,2.2,2.2,0.0,0.02,,0,1,0,0,0,0,0,8,0,0,,1
Bernd Leno,GK,Fulham,31.0,1.0,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2023.0,0,0,,0.0,0.0,,,,0,,0.0,0.0,47,55,85.5,1104,617,4,4,100.0,38,38,100.0,5,13,38.5,0.0,0.0,0,0,0,0,44,11,5,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,61,49,61,0,0,0,61,0,0,,0,,45,187,89,0,0,0,0,31,90,100.0,90.0,1,0,,0,3.0,1,0,1,1.0,,1.5,2.7,-1.2,-1.22,,0,0,1,0,0,0,0,2,1,0,100.0,1
Jefferson Lerma,MF,Crystal Palace,28.0,1.0,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,7,4,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,Matches,2023.0,1,0,0.0,1.0,0.0,0.0,,36.9,0,0.02,0.0,0.0,58,73,79.5,895,310,30,34,88.2,26,33,78.8,1,2,50.0,0.0,0.0,1,6,0,0,70,3,3,0,0,0,0,0,0,0,0,0,2,5,5.0,4,0,1,0,0,0,1,1.0,1,0,0,0,0,0,3,3,0,3,0,1,1,100.0,0,1,0,1,1,4,2,0,80,1,16,56,10,1,80,1,1,100.0,0,0.0,43,261,139,3,1,0,3,49,90,100.0,90.0,1,0,,0,3.0,1,0,1,1.0,,1.9,0.5,1.4,1.37,,0,2,2,0,0,0,0,4,12,1,92.3,1
Rico Lewis,DF,Manchester City,18.0,1.0,1,78,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2023.0,0,0,,0.0,0.0,,,,0,,0.0,0.0,36,42,85.7,552,65,22,25,88.0,12,12,100.0,2,4,50.0,0.0,0.0,0,2,0,0,39,3,0,0,0,0,3,0,0,0,0,0,1,1,1.15,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,47,2,14,22,12,0,47,1,1,100.0,0,0.0,30,146,65,1,0,0,1,28,78,86.7,78.0,0,0,,0,3.0,3,0,3,3.46,3.46,1.8,0.3,1.5,1.78,1.21,0,0,1,0,0,0,0,9,0,2,0.0,1
Victor Lindelof,DF,Manchester Utd,29.0,1.0,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2023.0,0,0,,0.0,0.0,,,,0,,0.0,0.0,11,15,73.3,172,51,4,7,57.1,7,8,87.5,0,0,,0.0,0.0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,1,0,1,0,0,1,0.0,1,0,0,0,0,1,0,0,18,2,11,6,1,1,18,0,0,,0,,10,42,15,0,0,0,0,11,45,50.0,,0,1,45.0,0,3.0,1,0,1,2.0,2.0,1.5,1.9,-0.4,-0.81,-1.59,0,0,0,0,0,0,0,2,0,0,,1
Tom Lockyer,DF,Luton Town,28.0,1.0,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2023.0,0,0,,0.0,0.0,,,,0,,0.0,0.0,13,20,65.0,341,238,1,2,50.0,9,9,100.0,3,7,42.9,0.0,0.0,0,1,0,0,16,3,3,0,0,0,0,0,0,0,0,1,1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,2,2,2,0,0,2,3,66.7,1,2,1,1,1,3,6,0,34,11,24,10,0,0,34,1,0,0.0,1,100.0,16,84,24,1,1,0,0,12,90,100.0,90.0,1,0,,0,0.0,1,4,-3,-3.0,,1.5,4.0,-2.5,-2.54,,0,1,2,0,0,1,0,5,2,0,100.0,1
Sean Longstaff,MF,Newcastle Utd,25.0,1.0,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2023.0,0,0,,0.0,0.0,,,,0,,0.0,0.0,1,2,50.0,8,2,1,1,100.0,0,1,0.0,0,0,,0.0,0.0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,3,0,1,2,0,0,3,0,0,,0,,1,11,9,0,0,0,0,1,6,6.7,,0,1,6.0,0,3.0,1,0,1,15.0,11.79,0.6,0.3,0.3,3.81,2.39,0,0,0,0,0,0,0,1,0,1,0.0,1
Max Lowe,MF,Sheffield Utd,26.0,1.0,1,79,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,Matches,2023.0,0,0,,0.0,0.0,,,,0,,0.0,0.0,12,18,66.7,145,78,8,12,66.7,4,5,80.0,0,0,,0.0,0.0,1,1,0,0,17,1,0,0,0,0,1,0,0,0,0,0,1,1,1.14,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,8,5,6,2,0,1,3,33.3,2,1,1,0,1,9,4,0,33,4,16,13,4,0,33,0,0,,0,,9,44,18,1,0,0,0,11,79,87.8,79.0,0,0,,0,0.0,0,1,-1,-1.14,-1.14,0.5,1.7,-1.2,-1.35,0.14,0,2,1,0,0,0,0,2,0,0,,1
Douglas Luiz,MF,Aston Villa,25.0,1.0,1,90,1.0,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.3,0,8,3,0.0,0.0,0.0,0.0,0.0,0.19,0.12,0.31,0.19,0.31,Matches,2023.0,4,1,25.0,4.0,1.0,0.0,0.0,20.8,1,0.05,-0.2,-0.2,69,77,89.6,1119,255,28,31,90.3,30,32,93.8,6,8,75.0,0.1,-0.1,1,4,2,0,71,6,4,2,0,1,0,2,1,0,0,0,1,6,6.0,4,1,0,1,0,0,1,1.0,1,0,0,0,0,0,1,0,0,1,0,0,2,0.0,2,1,0,1,1,2,0,0,87,2,18,50,19,2,87,1,1,100.0,0,0.0,51,251,70,0,0,2,1,69,90,100.0,90.0,1,0,,0,0.0,1,5,-4,-4.0,,1.8,3.3,-1.6,-1.58,,0,1,0,0,0,0,0,6,0,1,0.0,1
Sasa Lukic,MF,Fulham,27.0,1.0,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,4,1,0.0,0.0,0.0,0.0,0.0,0.02,0.07,0.1,0.02,0.1,Matches,2023.0,1,0,0.0,1.0,0.0,0.0,,21.9,0,0.02,0.0,0.0,60,67,89.6,1001,204,23,26,88.5,32,33,97.0,4,5,80.0,0.0,-0.1,1,3,0,0,63,3,3,0,0,0,0,0,0,0,0,1,1,1,1.0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,1,0,1,0,1,1,100.0,0,1,0,1,1,2,2,0,70,2,22,45,5,0,70,0,0,,0,,57,251,99,2,0,0,0,56,90,100.0,90.0,1,0,,0,3.0,1,0,1,1.0,,1.5,2.7,-1.2,-1.22,,0,1,0,0,0,0,0,4,0,0,,1
Ian Maatsen,"MF,FW",Chelsea,21.0,1.0,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2023.0,0,0,,0.0,0.0,,,,0,,0.0,0.0,4,9,44.4,77,45,1,4,25.0,0,2,0.0,1,1,100.0,0.0,0.0,0,1,0,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,1,0,0,1,0,0,,0,1,0,1,0,1,0,0,13,0,3,3,7,1,13,0,0,,0,,9,19,4,0,0,0,1,8,10,11.1,,0,1,10.0,0,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,-0.33,-0.47,0,0,0,0,0,0,0,2,0,0,,1
Alexis Mac Allister,MF,Liverpool,24.0,1.0,1,90,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,Matches,2023.0,0,0,,0.0,0.0,,,,0,,0.0,0.0,46,52,88.5,825,355,18,19,94.7,21,23,91.3,5,7,71.4,0.2,0.0,1,2,2,0,52,0,0,0,2,0,0,0,0,0,0,0,1,2,2.0,2,0,0,0,0,0,1,1.0,1,0,0,0,0,0,3,2,1,2,0,2,4,50.0,2,2,0,2,1,4,0,0,61,3,16,32,13,0,61,3,2,66.7,0,0.0,42,159,102,1,1,1,0,47,90,100.0,90.0,1,0,,0,1.0,1,1,0,0.0,,1.3,1.4,-0.1,-0.09,,0,2,2,0,0,0,0,10,0,0,,1
James Maddison,MF,Tottenham,26.0,1.0,1,90,1.0,0,2,2,0,0,0,1,0,0.1,0.1,0.9,1.0,1,7,8,0.0,2.0,2.0,0.0,2.0,0.07,0.93,1.0,0.07,1.0,Matches,2023.0,2,1,50.0,2.0,1.0,0.0,0.0,20.0,0,0.04,-0.1,-0.1,58,75,77.3,939,181,30,31,96.8,23,29,79.3,4,13,30.8,0.9,1.1,6,6,2,0,66,9,2,1,0,12,0,6,4,2,0,0,0,8,8.0,5,2,0,0,1,0,3,3.0,1,1,0,0,1,0,1,0,0,1,0,1,1,100.0,0,0,0,0,1,2,1,0,84,1,3,31,50,2,84,2,0,0.0,1,50.0,68,300,106,4,1,1,2,71,90,100.0,90.0,1,0,,0,1.0,2,2,0,0.0,,1.3,2.2,-0.9,-0.94,,0,3,2,0,0,0,0,3,1,1,50.0,1
Orel Mangala,MF,Nott'ham Forest,25.0,1.0,1,89,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,Matches,2023.0,0,0,,0.0,0.0,,,,0,,0.0,0.0,10,13,76.9,170,68,5,7,71.4,3,3,100.0,1,1,100.0,0.0,0.0,1,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1,1.01,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0,1,0,0,1,1,100.0,0,1,1,0,1,2,0,0,21,3,10,8,3,0,21,2,0,0.0,1,50.0,13,54,18,0,0,1,3,11,89,98.9,89.0,0,0,,0,0.0,1,2,-1,-1.01,-1.01,1.2,0.7,0.4,0.42,6.05,0,3,1,0,0,0,0,2,0,0,,1
Benson Manuel,FW,Burnley,26.0,1.0,0,17,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2023.0,0,0,,0.0,0.0,,,,0,,0.0,0.0,4,5,80.0,43,10,2,2,100.0,1,1,100.0,0,0,,0.0,0.0,0,0,0,0,4,1,0,0,0,1,0,1,0,0,0,0,1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,9,0,0,2,7,0,9,4,0,0.0,4,100.0,7,74,24,2,0,0,0,8,17,18.9,,0,1,17.0,0,0.0,0,1,-1,-5.29,-2.83,0.1,0.9,-0.9,-4.61,-3.69,0,0,0,0,0,0,0,0,0,2,0.0,1
Solly March,FW,Brighton,29.0,1.0,1,73,0.8,1,0,1,1,0,0,0,0,0.4,0.4,0.0,0.4,1,3,7,1.23,0.0,1.23,1.23,1.23,0.5,0.06,0.55,0.5,0.55,Matches,2023.0,3,2,66.7,3.7,2.47,0.33,0.5,16.5,0,0.13,0.6,0.6,24,34,70.6,404,74,10,14,71.4,10,11,90.9,3,5,60.0,0.0,0.0,2,0,1,0,31,3,1,0,0,2,1,1,0,0,0,0,1,4,4.93,1,2,0,0,1,0,0,0.0,0,0,0,0,0,0,1,1,0,0,1,1,1,100.0,0,0,0,0,0,1,1,0,44,1,3,18,23,2,44,5,2,40.0,2,40.0,34,158,39,1,0,1,4,36,73,81.1,73.0,0,0,,0,3.0,2,0,2,2.47,-2.83,2.3,0.4,1.9,2.31,-1.23,0,1,1,1,0,0,0,4,1,1,50.0,1
Martinelli,FW,Arsenal,22.0,1.0,1,85,0.9,0,1,1,0,0,0,0,0,0.0,0.0,0.2,0.2,3,3,9,0.0,1.06,1.06,0.0,1.06,0.0,0.17,0.17,0.0,0.17,Matches,2023.0,0,0,,0.0,0.0,,,,0,,0.0,0.0,31,33,93.9,556,124,13,14,92.9,15,16,93.8,3,3,100.0,0.2,0.8,3,0,1,0,31,2,0,0,0,2,1,1,1,0,0,0,0,3,3.18,2,0,1,0,0,0,1,1.06,0,0,1,0,0,0,1,1,0,1,0,0,0,,0,1,0,1,0,1,0,0,47,0,4,16,27,4,47,4,2,50.0,2,50.0,35,197,91,3,2,1,4,32,85,94.4,85.0,0,0,,0,3.0,2,1,1,1.06,1.06,0.6,1.2,-0.5,-0.57,-3.97,0,2,2,0,0,0,0,8,1,5,16.7,1
Emiliano Martinez,GK,Aston Villa,30.0,1.0,1,90,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2023.0,0,0,,0.0,0.0,,,,0,,0.0,0.0,23,27,85.2,490,259,10,11,90.9,10,10,100.0,3,6,50.0,0.0,0.0,0,0,0,0,22,5,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,32,24,32,0,0,0,32,0,0,,0,,16,57,34,0,0,0,0,14,90,100.0,90.0,1,0,,0,0.0,1,5,-4,-4.0,,1.8,3.3,-1.6,-1.58,,0,1,0,0,0,0,0,2,0,0,,1
Lisandro Martinez,DF,Manchester Utd,25.0,1.0,1,45,0.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2023.0,0,0,,0.0,0.0,,,,0,,0.0,0.0,36,39,92.3,586,209,17,17,100.0,16,17,94.1,2,4,50.0,0.0,0.0,0,3,1,0,38,1,1,1,0,0,0,0,0,0,0,0,0,2,4.0,1,0,0,0,0,1,0,0.0,0,0,0,0,0,0,1,1,0,1,0,1,3,33.3,2,0,0,0,0,1,0,0,41,2,15,24,2,0,41,1,1,100.0,0,0.0,31,204,118,1,0,0,1,32,45,50.0,45.0,0,0,,0,3.0,0,0,0,0.0,-2.0,0.7,0.3,0.4,0.78,1.59,0,1,0,0,0,0,0,2,0,1,0.0,1
Pape Matar Sarr,MF,Tottenham,20.0,1.0,0,16,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.49,0.0,0.49,0.49,0.49,Matches,2023.0,1,1,100.0,5.63,5.63,0.0,0.0,9.3,0,0.09,-0.1,-0.1,19,19,100.0,214,24,13,13,100.0,4,4,100.0,0,0,,0.0,0.0,0,2,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,1,0,0,0,1,0,21,1,2,12,7,1,21,0,0,,0,,15,68,37,1,0,0,0,17,16,17.8,,0,1,16.0,0,1.0,0,0,0,0.0,0.0,0.2,0.4,-0.2,-1.09,-0.18,0,0,0,0,0,0,0,1,1,0,100.0,1
Neal Maupay,FW,Everton,27.0,1.0,1,71,0.8,0,0,0,0,0,0,0,0,1.3,1.3,0.1,1.4,1,0,3,0.0,0.0,0.0,0.0,0.0,1.71,0.09,1.79,1.71,1.79,Matches,2023.0,4,3,75.0,5.07,3.8,0.0,0.0,13.1,0,0.34,-1.3,-1.3,8,9,88.9,127,9,4,4,100.0,4,5,80.0,0,0,,0.0,-0.1,1,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,2,2.54,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,1,0,19,1,1,10,9,6,19,0,0,,0,,9,58,14,1,1,3,2,11,71,78.9,71.0,0,0,,0,0.0,0,0,0,0.0,4.74,2.4,0.3,2.1,2.66,6.82,0,1,0,2,0,0,0,4,0,1,0.0,1
Bryan Mbeumo,FW,Brentford,24.0,1.0,1,90,1.0,1,0,1,0,1,1,0,0,1.4,0.6,0.0,0.6,1,6,7,1.0,0.0,1.0,0.0,0.0,1.4,0.0,1.4,0.61,0.61,Matches,2023.0,2,1,50.0,2.0,1.0,0.0,0.0,16.6,0,0.31,-0.4,-0.6,22,33,66.7,312,100,12,14,85.7,8,13,61.5,1,3,33.3,0.0,0.0,0,1,2,0,29,4,1,0,0,4,1,2,0,0,1,0,0,1,1.0,1,0,0,0,0,0,1,1.0,1,0,0,0,0,0,0,0,0,0,0,0,2,0.0,2,0,0,0,1,1,0,0,41,0,4,18,19,6,40,1,0,0.0,1,100.0,25,77,38,1,0,2,3,32,90,100.0,90.0,1,0,,0,1.0,2,2,0,0.0,,2.2,1.3,0.9,0.94,,0,3,1,0,0,0,0,3,2,3,40.0,1
James Mcatee,MF,Manchester City,20.0,1.0,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2023.0,0,0,,0.0,0.0,,,,0,,0.0,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,,0,,0,0,0,0,0,0,0,0,1,1.1,,0,1,1.0,0,3.0,0,0,0,0.0,-3.03,0.0,0.0,0.0,3.22,1.62,0,0,0,0,0,0,0,0,0,0,,1
John McGinn,"FW,MF",Aston Villa,28.0,1.0,1,63,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,6,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Matches,2023.0,0,0,,0.0,0.0,,,,0,,0.0,0.0,13,18,72.2,232,93,7,7,100.0,4,6,66.7,2,4,50.0,0.0,0.0,1,2,0,0,16,2,1,1,1,3,0,0,0,0,0,0,0,1,1.43,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,22,0,2,13,7,0,22,2,0,0.0,1,50.0,16,62,6,0,0,2,0,18,63,70.0,63.0,0,0,,0,0.0,1,3,-2,-2.86,3.81,0.6,1.8,-1.2,-1.73,-0.49,0,1,1,0,0,0,0,1,0,0,,1
Scott McKenna,DF,Nott'ham Forest,26.0,1.0,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2023.0,0,0,,0.0,0.0,,,,0,,0.0,0.0,13,21,61.9,248,121,5,6,83.3,6,11,54.5,2,4,50.0,0.0,0.0,0,0,0,0,17,4,0,0,0,0,4,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,2,0,1,1,0,0,0,,0,0,0,0,2,4,4,0,32,4,14,17,1,0,32,0,0,,0,,10,29,13,0,0,0,0,10,90,100.0,90.0,1,0,,0,0.0,1,2,-1,-1.0,,1.2,0.8,0.4,0.35,,0,1,1,0,0,0,0,2,3,0,100.0,1
Scott McTominay,FW,Manchester Utd,26.0,1.0,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2023.0,0,0,,0.0,0.0,,,,0,,0.0,0.0,2,2,100.0,23,9,2,2,100.0,0,0,,0,0,,0.0,0.0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,1,1,0,0,0,0,,0,1,1,0,0,1,0,0,5,1,2,2,1,0,5,1,0,0.0,0,0.0,1,8,0,0,0,0,1,1,3,3.3,,0,1,3.0,0,3.0,0,0,0,0.0,-1.03,0.0,0.4,-0.4,-13.36,-13.81,0,0,0,0,0,0,0,0,1,2,33.3,1
Chris Mepham,DF,Bournemouth,25.0,1.0,0,31,0.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.0,0.06,Matches,2023.0,0,0,,0.0,0.0,,,,0,,0.0,0.0,18,23,78.3,413,102,4,7,57.1,12,12,100.0,2,3,66.7,0.0,0.0,1,3,0,0,23,0,0,0,0,1,0,0,0,0,0,0,1,2,5.81,1,0,0,0,0,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,1,0,1,1,0,1,25,2,6,14,5,0,25,0,0,,0,,18,88,65,0,0,0,0,18,31,34.4,,0,1,31.0,0,1.0,1,0,1,2.9,4.43,1.1,0.2,0.9,2.56,3.51,0,0,0,0,0,0,0,2,0,0,,1
James Milner,DF,Brighton,37.0,1.0,1,78,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2023.0,0,0,,0.0,0.0,,,,0,,0.0,0.0,39,43,90.7,527,206,24,25,96.0,11,12,91.7,1,2,50.0,0.0,0.0,0,2,1,0,34,9,1,0,0,2,8,0,0,0,0,0,1,3,3.46,2,1,0,0,0,0,0,0.0,0,0,0,0,0,0,2,2,2,0,0,1,1,100.0,0,2,0,2,0,2,1,0,52,2,9,26,17,0,52,0,0,,0,,26,85,28,0,0,1,0,25,78,86.7,78.0,0,0,,0,3.0,2,0,2,2.31,-5.19,2.3,0.4,1.9,2.16,-2.85,0,0,1,0,0,0,0,4,1,5,16.7,1
Tyrone Mings,DF,Aston Villa,30.0,1.0,1,30,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.02,0.07,0.09,0.02,0.09,Matches,2023.0,1,0,0.0,3.0,0.0,0.0,,18.4,0,0.01,0.0,0.0,5,5,100.0,119,86,0,0,,2,2,100.0,2,2,100.0,0.2,0.0,1,1,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,2,6.0,1,0,0,0,0,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0,8,3,5,2,1,1,8,0,0,,0,,4,8,3,0,0,1,0,4,30,33.3,30.0,0,0,,0,0.0,1,2,-1,-3.0,1.5,0.3,1.1,-0.8,-2.43,-1.26,0,0,0,0,0,0,0,2,1,0,100.0,1
